Límite Inferior,Límite Superior,Cuota Fija,% Excedente
0.01,343.56,0.00,1.92
343.57,2916.06,6.58,6.40
2916.07,5124.70,171.22,10.88
5124.71,5957.28,411.60,16.00
5957.29,7132.44,544.74,17.92
7132.45,14385.28,755.30,21.36
14385.29,22673.14,2304.54,23.52
22673.15,43286.61,4253.90,30.00
43286.62,57715.56,10437.84,32.00
57715.57,173146.68,15055.18,34.00
173146.69,999999999,54301.66,35.00
